Study,Phase_Group,Inhibitor_System,Technique,Medium_Type,Molarity_M,Dose_Value,Dose_Unit,Concentration_ppm,Temp_C,Time_h,CR_mm_yr,IE_percent
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,40.0,6.0,32.1,35.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,40.0,6.0,21.8,55.9
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,40.0,6.0,10.9,78.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,40.0,6.0,9.9,79.9
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,40.0,6.0,49.4,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,50.0,6.0,58.8,22.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,50.0,6.0,58.0,23.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,50.0,6.0,45.9,39.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,50.0,6.0,35.4,53.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,450.0,ppm,450.0,50.0,6.0,27.1,64.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,0.0,ppm,0.0,50.0,6.0,75.3,
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,50.0,ppm,50.0,60.0,6.0,101.9,19.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,150.0,ppm,150.0,60.0,6.0,100.6,20.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,250.0,ppm,250.0,60.0,6.0,86.7,31.0
P2-Temperature,P2,Single Green Inhibitor,Weight loss,Acid,0.5,350.0,ppm,350.0,60.0,6.0,74.1,41.0
