Study,Dose_Value,actual_IE,predicted_IE_from_CR,abs_diff
P2-Temperature,50.0,47.7,47.72727272727273,0.027272727272723785
P2-Temperature,150.0,72.0,71.96969696969697,0.030303030303031164
P2-Temperature,250.0,81.1,81.06060606060606,0.03939393939393199
P2-Temperature,350.0,88.1,87.87878787878788,0.22121212121211897
P2-Temperature,450.0,92.2,92.04545454545455,0.1545454545454561
P2-Temperature,50.0,45.0,44.96969696969697,0.030303030303031164
P2-Temperature,150.0,70.1,70.06060606060606,0.03939393939393199
P2-Temperature,250.0,77.0,77.0909090909091,0.09090909090909349
P2-Temperature,350.0,87.7,87.63636363636364,0.0636363636363626
P2-Temperature,450.0,90.0,89.93939393939394,0.06060606060606233
P2-Temperature,50.0,35.0,35.011441647597245,0.011441647597244753
P2-Temperature,150.0,49.0,48.970251716247134,0.0297482837528662
P2-Temperature,250.0,53.0,53.01296720061023,0.012967200610226826
P2-Temperature,350.0,66.0,65.98016781083143,0.019832189168567993
P2-Temperature,450.0,71.0,71.01449275362319,0.014492753623187582
P2-Temperature,50.0,19.0,18.972951783614274,0.027048216385725965
P2-Temperature,150.0,22.0,22.030576244609954,0.030576244609953562
P2-Temperature,250.0,27.0,27.009016072128578,0.00901607212857769
P2-Temperature,350.0,27.0,27.009016072128578,0.00901607212857769
P2-Temperature,450.0,29.0,29.008232065856525,0.00823206585652514
P2-Temperature,50.0,8.3,8.27814569536424,0.021854304635761324
P2-Temperature,150.0,7.3,7.265290222049075,0.03470977795092445
P2-Temperature,250.0,11.3,11.316712115309693,0.01671211530969252
P2-Temperature,350.0,12.3,12.310089598753407,0.010089598753406648
P2-Temperature,450.0,22.4,22.39968835216206,0.0003116478379396881
P2-Time,50.0,26.3,26.190476190476197,0.1095238095238038
P2-Time,150.0,41.0,41.02564102564102,0.025641025641021997
P2-Time,250.0,59.8,59.70695970695971,0.09304029304028916
P2-Time,350.0,90.4,90.47619047619048,0.07619047619047592
P2-Time,450.0,95.6,95.6043956043956,0.004395604395611485
P2-Time,50.0,32.7,32.61802575107296,0.08197424892703964
P2-Time,150.0,38.3,38.197424892703864,0.10257510729613273
P2-Time,250.0,57.0,57.08154506437768,0.0815450643776785
P2-Time,350.0,82.7,82.83261802575107,0.1326180257510714
P2-Time,450.0,90.8,90.98712446351931,0.18712446351931078
P2-Time,50.0,29.1,29.223744292237434,0.12374429223743277
P2-Time,150.0,34.1,34.246575342465746,0.146575342465745
P2-Time,250.0,49.0,48.858447488584474,0.14155251141552583
P2-Time,350.0,79.1,78.99543378995433,0.10456621004566102
P2-Time,450.0,77.8,77.62557077625571,0.1744292237442835
P2-Time,50.0,27.2,27.21518987341772,0.0151898734177216
P2-Time,150.0,37.2,37.34177215189873,0.14177215189872783
P2-Time,250.0,40.0,39.87341772151899,0.12658227848100978
P2-Time,350.0,70.0,70.25316455696203,0.25316455696203377
P2-Time,450.0,76.2,75.94936708860759,0.2506329113924153
P2-Time,50.0,29.8,29.51807228915664,0.28192771084336243
P2-Time,150.0,39.0,39.156626506024104,0.15662650602410366
